city,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Berovo,689.3,49.5,36.1,50.3,54.2,72.4,92.6,48.4,36.0,61.6,77.1,32.8,78.2
Bitola,646.9,57.2,58.5,51.0,53.3,67.7,31.5,15.5,20.9,65.0,83.0,54.5,88.9
Demir Kapija,549.8,48.0,45.9,48.0,39.0,54.3,31.1,27.7,26.7,41.0,70.8,29.4,87.9
Kriva Palanka,688.4,50.7,34.1,45.1,51.5,64.4,86.1,56.4,49.7,45.3,72.0,55.6,77.6
Ohrid,801.4,79.4,73.9,57.8,63.2,66.2,44.4,13.7,23.9,77.4,85.0,89.1,127.5
Prilep,560.2,41.1,36.3,38.8,45.2,62.8,40.4,18.4,47.9,49.3,71.6,47.1,61.3
Skopje,507.6,32.5,27.9,40.4,43.3,59.9,47.7,32.5,19.6,45.2,60.0,44.6,53.8
Shtip,462.4,21.7,21.0,38.3,41.5,60.7,40.8,23.0,31.3,38.5,56.3,37.8,51.5
