city,Four Year,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Berovo,18.4,16,5,5,2,0,0,0,0,0,0,0,3,1
Bitola,19.8,19,5,5,4,0,0,0,0,0,0,0,3,2
Demir Kapija,10.0,4,2,1,1,0,0,0,0,0,0,0,0,0
Kriva Palanka,23.6,21,10,6,0,0,0,0,0,0,0,0,3,2
Ohrid,13.8,11,2,5,1,0,0,0,0,0,0,0,2,1
Prilep,20.0,16,6,5,2,0,0,0,0,0,0,0,2,1
Skopje,17.0,16,10,3,0,0,0,0,0,0,0,0,2,1
Shtip,12.2,10,4,3,0,0,0,0,0,0,0,0,2,1
