city,fourYear,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Berovo,71.8,80,5,10,10,4,7,13,5,5,7,4,6,4
Bitola,83.2,127,12,18,17,4,12,11,10,4,9,8,14,8
Demir Kapija,63.4,95,8,12,12,5,9,12,7,1,7,5,10,7
Kriva Palanka,93.8,127,11,14,17,8,17,18,8,5,8,4,10,7
Ohrid,93.6,107,13,12,19,6,12,5,6,5,7,8,11,3
Prilep,78.4,102,11,12,16,5,16,10,4,4,0,8,12,4
Skopje,88.2,120,12,13,14,9,13,12,7,6,7,5,15,7
Shtip,76.4,105,10,13,14,5,10,15,6,4,7,2,13,6
